date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,sub_title_non_zero_pr,sub_title_top_50_pr,sub_title_top_75_pr,sub_title_pr_4_bins,sub_title_pr_normalized,sub_title_pr_norm_plus_base,sub_title_pos_non_zero_pr,sub_title_pos_top_50_pr,sub_title_pos_top_75_pr,sub_title_pos_pr_4_bins,sub_title_pos_pr_normalized,sub_title_pos_pr_norm_plus_base,sub_title_very_pos_non_zero_pr,sub_title_very_pos_top_50_pr,sub_title_very_pos_top_75_pr,sub_title_very_pos_pr_4_bins,sub_title_very_pos_pr_normalized,sub_title_very_pos_pr_norm_plus_base,sub_title_neg_non_zero_pr,sub_title_neg_top_50_pr,sub_title_neg_top_75_pr,sub_title_neg_pr_4_bins,sub_title_neg_pr_normalized,sub_title_neg_pr_norm_plus_base,sub_title_very_neg_non_zero_pr,sub_title_very_neg_top_50_pr,sub_title_very_neg_top_75_pr,sub_title_very_neg_pr_4_bins,sub_title_very_neg_pr_normalized,sub_title_very_neg_pr_norm_plus_base,sub_title_very_pos_minus_very_neg_non_zero_pr,sub_title_pos_minus_neg_non_zero_pr,sub_title_pos_non_zero_pr_percent,sub_title_very_pos_non_zero_pr_percent,sub_title_neg_non_zero_pr_percent,sub_title_very_neg_non_zero_pr_percent,sub_body_non_zero_pr,sub_body_top_50_pr,sub_body_top_75_pr,sub_body_pr_4_bins,sub_body_pr_normalized,sub_body_pr_norm_plus_base,sub_body_pos_non_zero_pr,sub_body_pos_top_50_pr,sub_body_pos_top_75_pr,sub_body_pos_pr_4_bins,sub_body_pos_pr_normalized,sub_body_pos_pr_norm_plus_base,sub_body_very_pos_non_zero_pr,sub_body_very_pos_top_50_pr,sub_body_very_pos_top_75_pr,sub_body_very_pos_pr_4_bins,sub_body_very_pos_pr_normalized,sub_body_very_pos_pr_norm_plus_base,sub_body_neg_non_zero_pr,sub_body_neg_top_50_pr,sub_body_neg_top_75_pr,sub_body_neg_pr_4_bins,sub_body_neg_pr_normalized,sub_body_neg_pr_norm_plus_base,sub_body_very_neg_non_zero_pr,sub_body_very_neg_top_50_pr,sub_body_very_neg_top_75_pr,sub_body_very_neg_pr_4_bins,sub_body_very_neg_pr_normalized,sub_body_very_neg_pr_norm_plus_base,sub_body_very_pos_minus_very_neg_non_zero_pr,sub_body_pos_minus_neg_non_zero_pr,sub_body_pos_non_zero_pr_percent,sub_body_very_pos_non_zero_pr_percent,sub_body_neg_non_zero_pr_percent,sub_body_very_neg_non_zero_pr_percent,com_body_non_zero_pr,com_body_top_50_pr,com_body_top_75_pr,com_body_pr_4_bins,com_body_pr_normalized,com_body_pr_norm_plus_base,com_body_pos_non_zero_pr,com_body_pos_top_50_pr,com_body_pos_top_75_pr,com_body_pos_pr_4_bins,com_body_pos_pr_normalized,com_body_pos_pr_norm_plus_base,com_body_very_pos_non_zero_pr,com_body_very_pos_top_50_pr,com_body_very_pos_top_75_pr,com_body_very_pos_pr_4_bins,com_body_very_pos_pr_normalized,com_body_very_pos_pr_norm_plus_base,com_body_neg_non_zero_pr,com_body_neg_top_50_pr,com_body_neg_top_75_pr,com_body_neg_pr_4_bins,com_body_neg_pr_normalized,com_body_neg_pr_norm_plus_base,com_body_very_neg_non_zero_pr,com_body_very_neg_top_50_pr,com_body_very_neg_top_75_pr,com_body_very_neg_pr_4_bins,com_body_very_neg_pr_normalized,com_body_very_neg_pr_norm_plus_base,com_body_very_pos_minus_very_neg_non_zero_pr,com_body_pos_minus_neg_non_zero_pr,com_body_pos_non_zero_pr_percent,com_body_very_pos_non_zero_pr_percent,com_body_neg_non_zero_pr_percent,com_body_very_neg_non_zero_pr_percent,avg_clust_coef,avg_degree,num_edges,num_nodes,com_body_pos_percent,com_body_very_pos_percent,com_body_neg_percent,com_body_very_neg_percent,sub_body_pos_percent,sub_body_very_pos_percent,sub_body_neg_percent,sub_body_very_neg_percent,sub_title_pos_percent,sub_title_very_pos_percent,sub_title_neg_percent,sub_title_very_neg_percent,eth_close
7/10/2016,-1.883750219,-1.321220659,-1.785986478,-1.721442271,-1.711226805,-1.466841694,-1.842557637,-1.232572721,-0.269407953,-1.109360995,-0.503556099,-0.247315686,-1.646598089,-1.530980875,-1.250683635,-1.411555921,-0.46102725,-1.246441593,-1.520184701,-1.551863055,-0.738687134,-1.080540405,-0.621059003,-0.654116849,-0.701030686,-0.783163853,-1.233309625,-1.107823419,0,-1.20376767,-1.35442815,-1.42249991,-1.148852815,-0.677876549,-0.572077554,-1.413729939,-1.198735134,-1.311748557,-1.176696811,-1.181757896,-0.444478318,-1.407843199,-0.864027906,-0.980410273,-0.600623809,-0.184403671,-0.233303762,-1.250786438,-0.458471502,-1.248153602,-1.250683635,-1.411555921,-0.46102725,-1.246441593,-1.520184701,-1.551863055,-2.263680504,-2.181828902,0,-1.835709785,-1.802891283,-2.333674042,-1.596626595,-1.897366596,0,-1.224259728,-1.21609044,-1.565521789,-0.265684466,0.263117406,0,-0.269407953,0.137548434,0.042451949,-1.124297533,-0.072975638,0,-1.109360995,-0.462168023,-0.76244939,-1.468928978,-2.195029127,-1.039530783,-0.829236956,0.829881193,-0.522389727,-2.165708962,-1.80497029,-1.504871373,-1.805082961,-1.896087999,-1.965727284,-2.123334514,-1.324805577,-1.405531455,-1.728169139,-1.587840856,-1.795179284,-1.985524027,-1.137253643,-0.880642899,-1.679051712,-1.333391791,-1.66206581,-1.818898336,-1.838302246,-1.036187343,-1.693890271,-1.854229214,-1.897258867,-1.504858067,-1.452742297,-0.860152969,-1.451549502,-1.528500482,-1.595454949,-1.035618733,-1.072919969,1.191099315,0.334102706,-0.968989842,-0.743420918,-1.764748124,-0.290868601,-2.210202165,-1.071192149,1.775308494,0.92516228,-0.906718467,-0.620350777,-0.928871929,-0.445274737,0.93880381,-0.770346373,0.420852638,0.576060098,-1.016230961,-1.476484193,10.95
7/11/2016,-1.051791259,-0.036362259,-0.904391932,-0.594185552,-1.070456168,-0.699127726,-0.947886181,-0.258243681,-1.720763549,-1.484643616,0.411435289,-0.211545223,-0.535847257,-0.444478318,0.305051847,0.782953583,1.608292234,0.155623484,1.076230003,0.867242975,0.315206108,1.604757778,2.572478777,0.514860206,2.411454928,2.110131553,-0.737864787,-0.296318879,0,0,-0.848125278,-0.646120253,-0.017589334,-0.587154308,-0.572077554,-0.241746889,-0.749646522,-0.701893425,0.060120361,-0.97618706,-0.444478318,-0.349514899,-0.688246229,-0.673928919,-0.521356002,0.32805246,0.310704685,-0.880937959,-0.267379101,0.04873808,0.305051847,0.782953583,1.608292234,0.155623484,1.076230003,0.867242975,-1.180855876,-1.436821136,0,-0.993152828,-1.245617797,-1.373092797,-0.300124044,-1.174175679,0,-0.312199543,-1.091335504,-0.931323813,-1.937826724,-1.095445115,0,-1.720763549,-0.684973654,-1.104064212,-2.121320344,-1.488416815,0,-1.484643616,-1.033359494,-1.628069864,0.198479065,-0.526234812,-1.412067107,-0.55031001,-1.4973401,-1.978108374,-1.156209923,-0.755190097,-0.463515448,-1.008157916,-0.876680354,-0.999287822,-1.047299322,-0.996930744,-0.952187219,-0.893501771,-1.099684225,-1.063457375,-0.724416851,-0.577481954,-0.755180131,-0.592519344,-0.852374833,-0.78445272,-1.101399974,-0.770184685,-0.28685203,-1.082001525,-0.925913579,-1.073010182,-0.655732723,-0.143951548,-0.721839755,-0.696389363,-0.402920869,-0.593683177,-0.185528988,-0.1541189,0.929720438,1.082183364,-0.728374539,0.040065139,-0.166302286,-0.246973359,-1.063323639,-0.523845777,1.173037771,1.376759554,-0.74903863,0.064190366,-1.11094922,-0.268724693,-1.432006476,-2.015151003,0.62229633,-0.213773494,-0.55526581,-0.405538802,10.46
7/12/2016,-0.80355512,-0.139358811,-0.943015876,-0.868199071,-0.61582901,-0.735909404,-0.779820814,-1.0956936,-0.988474421,-0.446707411,0.263229609,-1.048116702,-0.556106811,0.891278031,0.182580152,-0.044582791,0.467186765,0.186769898,-0.086961741,-0.010080998,-0.008730009,-0.556792219,0.414039336,0.474261996,-0.364944101,-0.104596088,-0.287677981,-0.916695965,0,-0.628108707,-0.823520004,-0.845381402,-0.877808604,-0.683231278,0.707106781,-0.594936984,-0.268747939,-0.338419053,1.027872433,1.185275516,-0.444478318,0.587095266,0.552356442,0.58090222,-0.70754246,0.449623287,-0.070800348,-0.349851137,-1.135235162,1.070452564,0.182580152,-0.044582791,0.467186765,0.186769898,-0.086961741,-0.010080998,-0.736789969,-0.33968311,0,-0.747822927,0.351055277,-0.250751374,-1.01249489,0.742706472,0,-1.068001013,0.90578346,0.156251827,-1.262001212,0.118585412,0,-0.988474421,0.213680999,-0.255250358,-1.213104126,0.514495755,0,-0.446707411,1.196980384,0.570502876,-0.84292723,-0.309165354,-0.895585728,-1.009476324,-1.078174782,-1.210821333,-0.749754483,-0.09238604,-1.031511101,-0.791019152,-0.290845229,-0.598828163,-0.902230487,0.097949502,-0.56694671,-0.966245697,-0.200119906,-0.621919977,-0.878232578,-0.106357294,0.164940683,-0.852918687,-0.150894561,-0.564518727,-0.482935409,0.006242689,-0.674137077,-0.620565077,0.01641722,-0.334987847,-0.702010638,-0.376859251,-0.577091475,-0.73759526,-0.084197467,-0.448707563,-0.370050813,-1.080219825,-0.26626113,-0.144055177,0.160025504,-0.456207969,-0.290005808,0.099019229,-0.83648815,-0.606473364,0.031848899,0.164791806,0.072517075,-0.355690648,-0.764615379,-1.001930053,-0.93473827,-0.523836783,0.479252461,-1.237749681,-0.546459419,0.958839741,10.52
7/13/2016,-1.454380433,-1.012269084,-1.664339095,-1.732431705,-1.300309659,-1.261883774,-1.277995195,-1.134716953,-1.547622999,-1.200929097,-1.177071019,-1.409536255,-0.814761142,0.725240668,-0.839837635,-0.244815375,0.808223859,-0.918655308,0.320173091,-0.061791793,-0.883585249,0.302793645,2.121320344,-1.078733024,1.584759645,1.059261334,-0.647275457,-0.296318879,2.846049894,-1.122189387,1.530290866,0.959569081,-1.386215544,-0.907249285,-0.707106781,-1.351545036,-0.71958259,-0.864220629,0.84292723,-0.296318879,-0.444478318,0.880642899,0.02076964,0.144208963,-0.916695965,-0.095929422,-0.824276092,-0.585311733,-1.293931109,1.239125598,-0.839837635,-0.244815375,0.808223859,-0.918655308,0.320173091,-0.061791793,-1.607145046,-0.33968311,2.846049894,-1.356890361,-0.521876158,-1.200148454,-1.287174495,0,0,-1.194721845,-0.850284321,-1.366449814,-1.470871014,-1.30585725,0,-1.547622999,-1.091229754,-1.544502079,-0.993749462,-1.30585725,0,-1.200929097,-1.175572743,-1.543220779,-1.275426236,-1.306016362,-1.678260317,-1.158957327,-1.119367122,-0.759857218,-1.665786204,-1.135385217,-1.601913436,-1.471933613,-1.444394512,-1.502996355,-1.807920363,-1.054721401,-0.9425291,-1.64296504,-1.341865328,-1.568461723,-1.890617737,-1.031944309,-0.69193179,-1.710471248,-1.392286876,-1.66496764,-1.462513914,-0.677751099,-1.143001143,-1.288230251,-1.025799203,-1.237013983,-1.29174692,-0.289503663,-1.248371861,-1.231985137,-0.859187289,-1.154181162,-2.051006033,-2.050607144,-0.230649337,-0.756137647,-0.638445788,-0.414696454,-1.158525448,-0.930300939,-1.920579119,-1.092101414,0.088473373,-0.414070763,-0.591713572,-0.599107701,-0.938790804,-0.689316213,-1.325967023,-1.351086063,-1.035340935,-1.423675749,-0.322325998,1.109126597,10.5
7/14/2016,-0.536571541,-0.457745645,-0.672431342,-0.761311547,-0.687470897,-0.482544244,-0.856108662,-0.556528118,-0.73920807,-0.520580174,-0.368556497,0.325277597,-0.279835713,-0.10673521,-0.693939573,-0.576342968,-0.577762862,-0.505864661,-0.937663745,-0.932118062,-0.220275176,0.156481297,-0.072975638,-0.195065371,0.028822403,-0.055687521,0.979446573,1.185275516,-0.316227766,0.491722528,1.170133404,1.188095934,-0.314298942,0.818393207,-0.707106781,-0.264935164,-0.012693804,-0.051956195,-0.710855551,-0.224300154,-0.444478318,0.0558049,-0.613538991,-0.554128098,1.478152319,-0.048653624,0.180870755,1.542710688,0.056343814,-0.597824327,-0.693939573,-0.576342968,-0.577762862,-0.505864661,-0.937663745,-0.932118062,-0.59473674,-0.243955262,-0.316227766,-0.815139942,1.175521332,0.054681077,-0.333485132,0.601067933,0,-0.523043295,1.396409995,0.865159304,-0.495122297,-0.280975743,0,-0.73920807,-0.645308171,-0.818321233,-0.337763981,0.737864787,0,-0.520580174,-0.010610057,-0.358536018,-0.305822674,-0.507504433,-0.201369063,0.301094099,-0.191747635,-0.015533384,-0.614165476,-0.119726845,0.341799536,-0.611258162,-0.266438317,-0.481508804,-0.567043248,-0.257944632,0.431137882,-0.653350458,-0.284824553,-0.50252829,-0.678692712,-0.029696239,1.049948734,-0.743503359,0.098265574,-0.392701102,-0.687019453,-0.288193512,0.340438322,-0.682149066,-0.544370187,-0.654479136,-0.452723833,-0.025734251,1.391450486,-0.48011433,-0.018517244,-0.299512024,-0.756016244,-0.218574171,0.443727875,-0.225510488,-0.666726037,-0.020081549,-0.190018093,0.449926104,-0.608615715,-0.700441465,-0.411431662,-0.631562125,-0.947366665,-0.17694946,-0.84837643,-0.372887264,-0.617316075,-0.482686645,-0.182758724,0.703542527,0.028649658,0.035044922,11.51
7/15/2016,-0.477587068,-0.855106573,-0.34957073,-0.253099092,-0.162616586,0.023746968,-1.020142463,-0.999541179,-0.79894331,-0.231368966,-0.370526979,-1.120400613,-0.120821419,-0.998274373,-0.829413884,-1.038162562,-1.13096994,-0.748703075,-1.575422988,-1.489318373,-0.743100577,-0.623700695,-0.707106781,-0.252399106,-0.868849642,-0.952901049,-0.981980506,-0.393919299,-0.316227766,-0.737583792,-0.145922525,-0.394144954,0.14509525,1.111572409,2.484236014,-0.307036945,1.510426167,1.308819951,-0.564216812,0,-0.316227766,-0.874157276,0.322226797,0.101564015,-0.462685282,-1.010096183,-0.602710333,-1.012641869,0.93781654,-0.412557937,-0.829413884,-1.038162562,-1.13096994,-0.748703075,-1.575422988,-1.489318373,-1.258875573,-1.45624656,-0.316227766,-0.978336781,-1.380119183,-1.456939089,-0.87731594,-0.67457852,0,-0.96761826,-0.59825615,-0.958305923,-0.641706375,-0.077719164,0,-0.79894331,-0.495191764,-0.765407258,-0.233549683,0.737864787,0,-0.231368966,0.142628264,-0.090523529,-0.997440357,-1.248722927,-1.447802278,-0.712198972,-0.22489957,0.263965491,-0.42508474,-0.94685629,-1.92171759,-0.466066524,-1.229688091,-0.788360625,-0.237570645,-0.991950107,-1.354840662,-0.352741786,-1.259876483,-0.818842935,-0.180935249,-0.665299144,-1.021423118,-0.271706997,-0.988064814,-0.620506703,0.018426727,-0.090888228,-1.875,-0.137471501,-0.344836807,-0.21964339,0.226626442,-0.636352036,-1.02328656,0.050090852,-0.422099428,-0.107948237,-0.555927301,-0.591510349,1.066681517,0.682146814,1.317416038,1.161766496,-1.226531068,0.47487841,-0.675042148,-0.709241912,0.816397278,0.762770709,1.051849372,1.123135141,-0.86283033,-0.761819312,-0.511313459,0.24260517,0.304208265,-1.048208632,1.007857558,-0.813898308,11.95
7/16/2016,-0.947279391,-1.352767843,-1.168488061,-1.17364045,-0.146058809,0.334432445,-0.989699485,-1.178262759,0.462546127,1.095445115,-0.96843863,-1.189762153,0.19205532,0.685248289,-1.533440353,-1.813271059,-1.302406113,-1.287551977,-1.620425974,-1.654820237,-0.727630879,-1.151299351,-0.707106781,-0.653960248,-1.10677643,-1.299102498,-0.806404996,-0.316227766,-0.316227766,-0.942163061,0.168436994,-0.204718921,0.456863485,0.862972715,-0.514495755,0.367764142,-0.471641807,-0.35592711,1.06726871,2.018701384,-0.316227766,0.788115956,0.11932158,0.269561442,-1.189762153,-1.140711577,0.422648498,-0.687436071,2.177461867,1.9670902,-1.533440353,-1.813271059,-1.302406113,-1.287551977,-1.620425974,-1.654820237,-0.723026623,-1.475232729,-0.316227766,-0.947746789,-1.653164759,-1.608722772,-0.617152933,-0.974833012,0,-1.151299351,-1.190111749,-1.412553033,0,1.198756262,0,0.462546127,0.614243419,0.629688434,1.264911064,1.488416815,0,1.095445115,1.45979703,1.487707265,-1.086617916,-0.854226208,1.242861398,1.485480091,1.348586504,2.44904209,-1.013427746,-1.425541299,-1.158409533,-0.926571944,-1.474150289,-1.20577364,-1.305994471,-1.559848941,-1.382043295,-1.195191279,-1.564557366,-1.463569163,-1.172254454,-1.814403295,-1.761130966,-1.207093218,-1.866443796,-1.678256905,-0.13631399,-0.786130064,-0.270883192,-0.142476169,-0.896394004,-0.482804697,0.424595168,-0.490716492,0.283192549,0.342133207,-0.583659999,-0.012376297,-1.780631534,-2.038054952,-1.081888335,-0.198902366,2.094225657,2.020560538,1.575045877,1.066090766,-1.050555356,-1.185794056,-0.460252885,-0.1699702,2.221975354,2.138232543,0.824073677,-0.079854542,1.692371363,2.327150744,-0.096619118,-0.998478819,2.284160248,1.389826613,11.65
7/17/2016,-0.087707732,-0.514388182,-0.780819855,-0.774099441,0.939381265,1.229927871,-0.046837851,-0.843274043,1.638519381,1.83715604,-0.954992151,1.05474443,0.738644607,-0.396155906,-0.77966953,-0.667792296,-0.464013094,-0.545890719,-0.782425232,-0.786468488,-0.898601881,-0.999421798,-0.621059003,-0.825021647,-0.944751286,-1.160773394,0.098139652,0.393919299,-0.316227766,1.18243203,1.248916743,1.47523299,0.792477082,-0.129099445,-0.414039336,0.813402713,-0.48807647,-0.292275734,-0.118585412,-0.802732021,0,-0.280975743,-0.754571887,-0.693902335,0.393730775,-1.426753865,-1.113473862,0.611471633,1.378793734,0.094815301,-0.77966953,-0.667792296,-0.464013094,-0.545890719,-0.782425232,-0.786468488,-0.922797881,-0.897200615,-0.316227766,-0.10486722,-0.589030493,-0.462983006,-1.499260902,-0.799670985,0,-0.958234042,-0.480803674,-0.669301145,2.258317958,2.549414205,0,1.638519381,2.514260558,2.323458775,2.513607512,2.599200676,0,1.83715604,2.599543573,2.453059342,-2.229999653,-1.973309685,-0.537935848,-1.445171052,2.356856046,2.395995708,-0.002173077,0.213345306,0.817716705,-0.071267525,0.60566302,0.288492077,-0.682603039,-0.84252281,-0.133103476,-0.799309513,-0.438997719,-0.631244517,-0.680757719,-0.892807373,-0.579750904,-0.766178542,-0.760705056,-0.806265306,0.868649987,0.630178827,0.75,0.834781122,0.956188736,0.959910838,1.197845778,-0.369995087,0.193649167,1.115796309,0.248052289,0.79386189,-1.231044786,-1.357682729,-1.984793008,-1.494908888,1.09934802,0.947956018,2.075035487,1.037454874,-0.427234198,-0.893484765,-1.828344998,-1.410888729,1.190062657,1.006119958,1.348035389,-0.740077636,1.824877194,1.955530388,-1.343783252,1.717350918,1.397876854,-0.264905555,11.16
7/18/2016,0.740920783,0.454720097,1.034447269,1.312772532,1.521750148,1.540623482,1.990374763,2.004645767,0.427837566,0.333711906,-0.394765961,-0.132195795,-1.075396859,1.060293098,0.258528824,0.043121968,-0.388820141,0.346974918,-0.191621296,-0.044871705,-0.175330676,-0.232845158,-0.621059003,-0.441558607,-0.590654719,-0.69361058,-0.135526185,-0.217642875,-0.316227766,-0.181236628,-0.669618508,-0.635262775,-0.478313954,0.979130049,-0.414039336,-0.984605598,0.27524284,0.037383629,0.887411967,0.523367026,0,1.176696811,-0.173415285,0.142418451,-0.549627685,0.047793974,-0.508699108,-0.154781805,-0.664448319,0.64763134,0.258528824,0.043121968,-0.388820141,0.346974918,-0.191621296,-0.044871705,1.900558218,1.345800923,-0.316227766,1.949029207,1.273425871,1.705069946,1.817048253,1.421637307,0,1.961226488,0.974521915,1.486226624,0.806909043,0.743613927,0,0.427837566,0.838795904,0.734664511,0.531423017,0.199557032,0,0.333711906,0.656441488,0.567758898,1.287296354,1.537662765,2.260040885,2.005929754,0.406713782,0.193844972,0.73955373,0.864174557,0.252913272,0.795876354,0.319930202,0.591792291,0.943995431,0.394093194,-0.412545535,1.043579151,0.00597246,0.58505922,1.275554713,-0.36860811,-0.43576099,1.33574196,-0.608605916,0.358037358,1.430449865,1.139579255,2.342296304,1.511874929,1.57877528,1.625643502,1.45588215,0.264359598,1.579063844,1.565440034,0.42616418,1.21704915,0.590569181,0.207763718,0.413375197,1.003767426,0.873579748,0.64494639,-0.237025729,0.810156171,0.457019858,0.162369397,0.433842544,0.887152598,0.871642135,0.69657758,2.473907031,2.415769629,0.118881195,0.103807438,-1.085785489,-0.314567428,-1.518716777,0.803560721,11.03
7/19/2016,2.102490166,1.747859018,1.928420031,1.623213537,1.891444798,1.444521511,0.669514023,0.556528118,0.977424166,1.107823419,0.548564745,-1.015928192,2.596735269,0.96061689,1.389995213,1.079933229,-1.453878079,1.455007029,0.211688897,0.522582989,1.147352566,0.286763845,-0.621059003,0.570479122,-0.391448504,-0.271258829,0.164043589,-1.060660172,-0.316227766,-0.8262428,-1.01189993,-1.071801417,2.528926334,1.662515982,-0.414039336,2.468352045,1.683205526,2.023816136,-0.265684466,-0.85811633,0,0.060120361,-0.902285876,-0.765669594,0.321865068,-1.863208031,0.061204017,-0.154884607,1.778135254,-0.493292444,1.389995213,1.079933229,-1.453878079,1.455007029,0.211688897,0.522582989,0.708257711,1.784643229,-0.316227766,0.638796097,0.840102914,0.827805736,0.545269352,1.431811159,0,0.501241729,0.496239267,0.551828529,0.806909043,0.660782614,0,0.977424166,1.214170999,1.153941857,1.218391622,0.511654197,0,1.107823419,0.788953075,0.917991457,-0.168659436,0.269494901,-0.177903459,-0.392257082,0.085268261,0.471407312,2.130149267,2.498524911,0.952005707,2.10902534,2.368704466,2.326850641,2.007917715,2.394651563,0.821381351,1.953384853,2.261350999,2.247310797,1.780461878,2.084939379,-0.067250376,1.646808779,1.740047743,1.878730688,1.848090985,2.349212779,-0.349704152,1.907994328,1.94956637,1.98011505,1.584951455,2.318971553,-0.689951489,1.462932629,2.105483132,1.980574136,1.380365163,1.421531554,-0.040768153,-0.304602593,0.138320018,-0.239122257,1.807120663,1.660071548,1.866412449,1.185223913,-0.402059411,-0.627360588,0.246817272,-0.335898227,-0.800622934,-0.972441682,0.100752913,0.393353691,-0.774612464,-1.204495035,1.937923399,0.431964693,11.62
